Identifer,Creator,Title,Date,Description,Repository
1,Unknown,Praise The Lord Debt Retired,N/A,"Newspaper clipping glued to black construction paper, captioned with a piece of scrap paper, ""Praise the Lord Debt Retired"". The newspaper clipping was published in the Pittsburgh Tribune on April 15th, 1965, where it shows the congregation of St. John's Evangelical Lutheran Church celebrating their final payment for the debt the church incurred from building the church's parish hall.",St. Andrew and St. John's Evangelical Lutheran Church Archives
2,Unknown,Praise The Lord Debt Retired 2,N/A,"Newspaper clipping glued to black construction paper, captioned with a piece of scrap paper, ""Praise the Lord Debt Retired"". The newspaper clipping was published in the Pittsburgh Tribune on April 15th, 1965, where it shows the congregation of St. John's Evangelical Lutheran Church celebrating their final payment for the debt the church incurred from building the church's parish hall. This copy includes a clipping from the Pittsburgh Post Gazette's April 3rd 1965 edition mentioning that the celebration will be held on April 4th at 10:45 am at the church, and the parish hall was named ""Plamann Hall"", after the previous pastor of the church.",St. Andrew and St. John's Evangelical Lutheran Church Archives
3,Unknown,Son-in-Law Like Father-in-Law,N/A,"Newspaper clipping attached to two scanned copies of said clipping published in a Pittsburgh newspaper. It details Rev. George Schuster's installation as pastor of St. John's Evangelical Lutheran Church, where his father-in-law, Rev. G. J. Troutman, was an officiant of the service.",St. Andrew and St. John's Evangelical Lutheran Church Archives
4,Unknown,A Celebration of Holy Communion at St. John's Evangelical Lutheran Church,4/1955,"Picture of Pastor Plamann celebrating Holy Communion in St. John's Evangelical Church in April 1955. On the back of the picture includes the name of the presiding pastor and ushers, Charley Schlatt, Paul Creighton, Kenny Boehm, and Bob Hassler. There is also a pencil marking on the back, a written ""12"".",St. Andrew and St. John's Evangelical Lutheran Church Archives
5,Unknown,Marty Batista playing a piano in St. John's Evangelical Lutheran Church's gallery,4/1955,"Picture of Marty Batista playing the piano, presumably during a church service at St. John's Evangelical Lutheran Church, in the gallery. Other people identified in the picture are listed on the back of the picture, their names are Earl Grance, Chris Gurtner ad Lois Mertens. A pencil marked ""3"" is next to Earl Grance's name.",St. Andrew and St. John's Evangelical Lutheran Church Archives
6,Unknown,Marty Batista playing a piano in St. John's Evangelical Lutheran Church's gallery 2,4/1955,"Picture of Marty Batista playing the piano in St. John's Evangelical Lutheran Church's gallery. On the back of the picture includes a list of people in the photo, which include Earl Gtance and Walter Lentz. A pencil marked ""15"" is in the top left corner.",St. Andrew and St. John's Evangelical Lutheran Church Archives
7,Unknown,Church Congregation and a Child looking down from St. John's Evangelical Lutheran Church's gallery,4/1955,A picture of a child looking down onto the church congregation during a church service at St. John's Evangelical Lutheran Church. A number 13 is written in pencil in the top left corner of the picture.,St. Andrew and St. John's Evangelical Lutheran Church Archives
8,Unknown,Pastor Plamann preaching to his congregation,4/1955,A Picture of Pastor Plamann preaching to his congregation during his celebration of Holy Communion in St. John's Evangelical Lutheran Church. The back of the picture includes Pastor Plamann written in blue ink and the number 9 written in pencil in the top left corner.,St. Andrew and St. John's Evangelical Lutheran Church Archives
9,Unknown,Pastor Plamann celebrating holy communion at St. John's Evangelical Lutheran Church,4/1955,"A Picture of Pastor Plamann celebrating Holy Communion in St. John's Evanglical Lutheran Church, the main focus of the photo is on the congregration, where it appears they're reading from a hymnal. On the back of the picture is Pastor Plamann's name and the number 11 written in pencil on the top left corner.",St. Andrew and St. John's Evangelical Lutheran Church Archives
10,Unknown,Marty Batista playing the piano,4/1955,,St. Andrew and St. John's Evangelical Lutheran Church Archives
